departure_iatacode,departure_at,arrival_iatacode,arrival_at,carriercode,price_grandtotal,included_checkedbags_weight,included_checkedbags_weightunit,included_cabinbags_quantity
LGW,2025-06-19T15:25:00,SCQ,2025-06-19T18:35:00,VY,106.38,25,KG,1
LHR,2025-06-19T18:50:00,SCQ,2025-06-19T22:05:00,VY,111.32,25,KG,1
LHR,2025-06-19T20:50:00,BCN,2025-06-20T00:05:00,IB,188.42,1,PIECES,1
BCN,2025-06-20T05:45:00,SCQ,2025-06-20T07:35:00,IB,188.42,1,PIECES,1
LHR,2025-06-19T20:50:00,BCN,2025-06-20T00:05:00,IB,194.32,1,PIECES,1
BCN,2025-06-20T13:55:00,SCQ,2025-06-20T15:45:00,IB,194.32,1,PIECES,1
LGW,2025-06-19T09:10:00,BCN,2025-06-19T12:25:00,IB,206.48,1,PIECES,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,IB,206.48,1,PIECES,1
LGW,2025-06-19T14:30:00,BCN,2025-06-19T17:45:00,IB,217.48,1,PIECES,1
BCN,2025-06-19T21:45:00,SCQ,2025-06-19T23:35:00,IB,217.48,1,PIECES,1
LGW,2025-06-19T13:10:00,BCN,2025-06-19T16:20:00,IB,217.48,1,PIECES,1
BCN,2025-06-19T21:45:00,SCQ,2025-06-19T23:35:00,IB,217.48,1,PIECES,1
LHR,2025-06-19T09:55:00,BCN,2025-06-19T13:05:00,IB,219.42,1,PIECES,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,IB,219.42,1,PIECES,1
LHR,2025-06-19T09:30:00,FRA,2025-06-19T12:05:00,LH,230.42,1,PIECES,1
FRA,2025-06-19T13:50:00,SCQ,2025-06-19T16:30:00,LH,230.42,1,PIECES,1
LHR,2025-06-19T08:30:00,FRA,2025-06-19T11:05:00,LH,230.42,1,PIECES,1
FRA,2025-06-19T13:50:00,SCQ,2025-06-19T16:30:00,LH,230.42,1,PIECES,1
LHR,2025-06-19T09:55:00,BCN,2025-06-19T13:05:00,IB,236.42,1,PIECES,1
BCN,2025-06-19T21:45:00,SCQ,2025-06-19T23:35:00,IB,236.42,1,PIECES,1
LCY,2025-06-19T08:45:00,FRA,2025-06-19T11:10:00,LH,236.67,1,PIECES,1
FRA,2025-06-19T13:50:00,SCQ,2025-06-19T16:30:00,LH,236.67,1,PIECES,1
LGW,2025-06-19T09:10:00,BCN,2025-06-19T12:25:00,VY,256.48,25,KG,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,VY,256.48,25,KG,1
LGW,2025-06-19T14:30:00,BCN,2025-06-19T17:45:00,VY,256.48,25,KG,1
BCN,2025-06-19T21:45:00,SCQ,2025-06-19T23:35:00,VY,256.48,25,KG,1
LHR,2025-06-19T20:50:00,BCN,2025-06-20T00:05:00,VY,278.42,25,KG,1
BCN,2025-06-20T05:45:00,SCQ,2025-06-20T07:35:00,VY,278.42,25,KG,1
LHR,2025-06-19T20:50:00,BCN,2025-06-20T00:05:00,VY,284.32,25,KG,1
BCN,2025-06-20T13:55:00,SCQ,2025-06-20T15:45:00,VY,284.32,25,KG,1
LHR,2025-06-19T09:55:00,BCN,2025-06-19T13:05:00,VY,293.42,25,KG,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,VY,293.42,25,KG,1
LHR,2025-06-19T09:55:00,BCN,2025-06-19T13:05:00,VY,293.42,25,KG,1
BCN,2025-06-19T21:45:00,SCQ,2025-06-19T23:35:00,VY,293.42,25,KG,1
LGW,2025-06-19T10:55:00,BCN,2025-06-19T14:05:00,IB,323.48,1,PIECES,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,IB,323.48,1,PIECES,1
LHR,2025-06-19T13:40:00,MAD,2025-06-19T17:05:00,IB,510.12,1,PIECES,2
MAD,2025-06-19T19:50:00,SCQ,2025-06-19T21:05:00,IB,510.12,1,PIECES,2
LHR,2025-06-19T20:10:00,DUB,2025-06-19T21:30:00,EI,582.47,20,KG,1
DUB,2025-06-20T15:30:00,SCQ,2025-06-20T18:45:00,EI,582.47,20,KG,1
LHR,2025-06-19T06:15:00,MAD,2025-06-19T09:40:00,IB,663.12,2,PIECES,2
MAD,2025-06-19T11:50:00,SCQ,2025-06-19T13:05:00,IB,663.12,2,PIECES,2
LGW,2025-06-19T10:55:00,BCN,2025-06-19T14:05:00,VY,695.48,25,KG,1
BCN,2025-06-19T16:00:00,SCQ,2025-06-19T17:50:00,VY,695.48,25,KG,1
